Type,PostCode,Borough,Area,Positioning,Date,Time,Description,Deaths
V1,SE11,Lambeth,Kennington,Kennington Park Road Stannary st junction,16/08/1944,16:52,This serious V1 incident occurred when the Flying bomb demolished 10 houses and shops and caused major damage to a rag warehouse. Property in an area of 100yards square damaged.,10
V1,SE11,Lambeth,Kennington,Kennington park Road at Kennington Oval,24/08/1944,18:38,Serious Incident when the V1 struck a tram depot. 4 tramcars and a bus badly damaged. Alverstone House (flats) suffered major blast damage.,10
V2,SE11,Lambeth,Lambeth,Morton Place (cant find on map but at Lambeth North,04/01/1945,20:29,"This tragic V2 rocket incident happened when the missile struck a Surrey Lodge dwellings (a block of flats) . It also partially demolished Lambeth public baths, partly demolished the Ideal Cinema, the Mission hall, the l Wesleyan school and Institute .Site today totally re-developed much of it with 60's tower blocks.",42
V1,SE12,Lambeth,Hither Green,11 Micheldelver Road,16/06/1944,00:00,No further information available,1
V1,SE12,Lewisham,Lee,Lampmead/Lenham Road,22/06/1944,04:48,No further information available,5
V1,SE12,Lewisham,Grove Park,Somertrees Avenue Halfway down,24/06/1944,01:15,3 houses demolished in Somertrees/24 damaged in Somertrees/17 damage in Lemay Avenue/5 damaged in Luffnam Road/62 damaged in Marvels Lane/6 damaged in Balders rise/13 damaged in Marvels Close.,1
V1,SE12,Lewisham,Lee,Winn Road and Exford Road,03/07/1944,01:13,2 demolished in Winn road 3 severely damage in Winn Road/19 damaged in Winn Road/38 Slightly damaged in Winn Road/3 severely damage in Exford Road/3 damaged in Exford Road/15 slightly damaged in Exford Road/29 slightly damage in Ashdale Road/4 injured.,0
V1,SE12,Lewisham,Hither Green,Linchmere Road Baring Road junction,09/07/1944,02:34,2 demolished in Linchmere Road,0
V1,SE12,Lewisham,Lee,Weigall Road,21/07/1944,05:36,"5-36 sheds of 1 floor 240x 60 feet used as workshops and offices demolished ,medium fire. one raf lorry severe damage 33,34,37 and 38 Sheds severe damage 2 raf lorries severe damage air ministry sheds and bldns damaged.",0
V1,SE12,Lewisham,Grove Park,Hither Green Sidings To North East,29/07/1944,00:00,No further details available,4
V1,SE12,Lewisham,Hither Green,Harland Road baring Road junction,31/07/1944,15:00,"Property in baring road damage, property in Reigate rd damaged.",0
V1,SE12,Lewisham,Hither Green,Newstead Road N side halfway down,05/08/1944,04:40,2 houses demolished 22 severe damage property bounded by birch grove and dallinger road damage,0
V1,SE12,Lewisham,Lee,Harland Road Baring Road,16/08/1944,08:50,"3 shops and flts and 10 houses severe damage in Baring rd property bounded by Harland,baring including Summerfield tavern, Baptist church st Mildreds hall damaged",3
V2,SE12,Lewisham,Grove Park,Jevington Way,15/12/1944,00:00,No further details available,0
V1,SE14,Deptford,Brockley,Drakefell Road North Side around number 75,23/06/1944,06:51,"This was the first V1 to fall in the SE14 area. It badly damaged 20 houses and caused further damage to property in Kitto Road , Pepys Road , Avignon Road, Aspinal Road and St Asaphs Road . The impact site has been re-developed with some very interestingly designed houses.",0
V1,SE14,Deptford,New Cross,To West of St Donats Road in Goldsmiths grounds,26/06/1944,15:17,"This V1 fell in the grounds of Goldsmiths College to the West of St Donatts Road. . Severe damage was caused to 3 houses. Further damage caused to property bounded by Lewisham Way , New Cross Road , St James Road , Barriedale Road and Shardloes Road .",0
V1,SE14,Deptford,New Cross,Coldblow Lane,27/06/1944,02:40,This Flying Bomb exploded in Coldblow Lane near the railway. 100 yards of railway track and embankment were badly damaged. A signal box and railway cottage also damaged as was surrounding property in Coldblow Lane and Archangle Wharf,0
V1,SE14,Deptford,New Cross,Coldblow Lane,02/07/1944,02:22,The further V1 in Coldblow Lane caused severe damage to 80 yards of railway track and further damage to surrounding property. It left a large crater and damaged 20 railway wagons.,0
V1,SE14,Deptford,New Cross,Between Queens Road and Besson St,03/07/1944,03:48,"The V1 struck between Queens Road and Besson Street . .3 houses were demolished. 32 houses in Queens Road , Kender Street and Besson Street were badly damaged.",1
V1,SE14,Deptford,Telegraph Hill,Drakefell Road around number 36,04/07/1944,23:57,"34-40 Drakefell Road were totally demolished. Damage to properties in an area bounded by Bousfield Road , Arbuthnot Road , Waller Road , Kitto Road , Avignon Road, St Asaphs Road . Site has been re-developed with 1960's local authority housing",4
V1,SE14,Deptford,New Cross,Coldblow lane,07/07/1944,14:35,This is the third V1 to be recorded as having struck Coldblow Lane . The Flying Bomb fell on railway property but caused damaged in Brocklehurst Street and Hunsdon road,0
V1,SE14,Deptford,Telegraph Hill,Erlanger Road north End,12/07/1944,08:51,"7 houses were badly damaged in Erlanger Road and surrounding property in Queens Road , Pepys Road , Arbuthnot Road and Rural place suffered some damage",0
