"ref", "position", "fatalities", "date", "time", "postcode", "borough", "area", "notes"
"p153, Petworth Street", "Petworth Street East side junction with Bolan Street", "9", "21/06/1944", "01:03", "SW11", "Battersea", "Battersea", "The V1 demolished 6 houses and damaged 20 others"
"p153, Battersea Park"
"p153, Batten Street"
"p154, Battersea Park"
"p154, Prince of Wales Drive"
"p154, Lurline Gardens"
"p154, Broughton Street"
"p154, Brassey Square"
"p154, Montefiore Street"
"p155, Queenstown Road"
"p155, Corunna Terrace"
"p155, Corunna Road"
"p155, Wandsworth Road"
"p155, Wandsworth Road"
"p155, Fount Street"
"p155, Larkhall Lane"
"p155, Clarence Walk", "Paradise Road Clarence walk junction SW quad", "1", "29/07/1944", "00:20", "SW4", "Lambeth", "Clapham", "The V1 fell in Paradise Road. Stockwell Methodist Church Hall was damaged."
"p155, Gauden Road", "Gauden Road", "11", "27/06/1944", "00:20", "SW4", "Lambeth", "Clapham", "1 of 2 V1's in Gauden Road. I cannot ascertain which date matches which location. One fell at the Station end, the other on the North side by Broomfield Road junction."
"p155, Gauden Road", "Gauden Road", "1", "28/06/1944", "13:50", "SW4", "Lambeth", "Clapham", "2nd of 2 V1's in Gauden Road. I cannot ascertain which date matches with location. One fell at the Station end, the other on the North side by Broomfield Road junction."
"p155, Clapham High Street", "Clapham Road clapham north", "4", "10/07/1944", "02:55", "SW9", "Lambeth", "Clapham", "The V1 hit Clapham Road opposite Clapham North Tube. 6 houses were demolished and 20 houses and a Church severely damaged. The area has been re-developed as a housing estate and the church re-built"
"p156, Hartington Road"
"p156, Studley Road", "Studley Road", "0", "25/06/1944", "00:36", "SW4", "Lambeth", "Clapham", "The V1 fell in Studley Road. 10 houses were demolished and 30 severely damaged."
"p156, Paradise Road", "Paradise Road", "0", "29/06/1944", "12:06", "SW4", "Lambeth", "Clapham", "The V1 fell in Paradise Road and hit a gasometer at the South Metropolitan gas company"
"p156, Lorn Road", "Stockwell Park Road by Lorn Road", "11" ,"22/06/1944", "06:58", "SW9", "Lambeth", "Stockwell", "V1 in Stockwell Park Road by L orn Road."
"p156, Sidney Road", "Manor House Road/Sidney Road", "4", "27/08/1944", "07:18", "SW9", "Lambeth", "Brixton", "The V1 hit Manor house road. 20 houses demolished and 30 damaged."
"p156, Rumsey Road", "Rumsey road between Benedict and Speenham Road", "5", "16/07/1944", "07:47", "SW9", "Lambeth", "Brixton", "The V1 struck in Rumsey Road. 12 houses were demolished and 40 damaged."
"p157, Loughborough Road", "BarringtonRoad/Loughborough Road", "0", "24/07/1944", "00:25", "SW9", "Lambeth", "Brixton", "V1 in Barrington Road. No casualties reported. 2 houses demolished and 40 damaged an ews brick and steel dam damaged by blast."
"p157, Lowth Road"
"p157, Lothian Road", "Pathos Road/Lothian Street", "5", "10/08/1944", "21:09", "SW9", "Lambeth", "Brixton", "The V1 hit Pathos Road and Lothian Street.8 houses were demolished and 30 badly damaged."
"p157, Camberwell Station Road"
"p157, Medlar Street"
"p157, Wyndham Road"
"p157, Lomond Grove"
"p158, St Giles Road"
"p158, Southampton Way"
"p158, Pentridge Street"
"p158, Camberwell Grove"
"p159, Commercial Way"
"p159, Mckerrell Road"
"p159, Raul Road"
"p159, Wood's Road"
"p159, Bidwell Street"
"p159, Copeland Road"
"p159, Stanbury Road"
"p159, McDermott Road"
"p159, Scylla Road"
"p160, Besson Street"
"p160, Erlanger Road"
"p160, Troutbeck Road"
"p160, New Cross Gate"
"p160, Evelina Road"
"p160, Selden Road"
"p160, Drakefell Road"
"p160, Pepys Road"
"p160, Ommaney Road"
"p161, Endwell Road"
"p161, Millmark Grove"
"p161, Brockley"
"p161, Cranfield Road"
"p161, St Donatts Road"
"p161, Achilles Street"
"p161, Glenville Grove"
"p161, Deptford Church Street"
"p162, Deptford Bridge"
"p162, Greenwich Station"
"p162, Greenwich Station"
"p162, Greenwich High Road"
"p162, Egerton Drive"
"p162, Ashburnham Grove"
"p162, Burney Street"
"p162, Blackheath Hill"
"p162, Blackheath Hill"
"p162, Ravensbourne River"
"p162, Dartmouth House"
"p162, Morden Hill"
"p162, Morden Hill"
"p162, Lewisham Road"
"p162, Granville Park"
"p162, Granville Park"
"p163, Crooms Hill"
"p163, Greenwich Park"
"p163, Greenwich Park"
"p163, Greenwich Park"
"p163, Blackheath"
"p163, Blackheath"
"p163, Blackheath"
"p163, Blackheath"
"p163, Blackheath"
"p163, Blackheath"
"p163, Blackheath"
"p163, Lawn Terrace"
"p163, Vanbrugh Park Road"
"p164, Stratheden Road"
"p164, Furzefield Road"
"p164, Liskeard Gardens"
"p164, Morden Road"
"p164, Blackheath Park"
"p164, Blackheath Park"
"p164, Kidbrooke Park Road"
"p165, Broad Walk"
"p165, Charlton Dene"
"p165, Stadium Road"
"p166, Broad Walk"
"p173, Wandsworth Park"
"p173, Lebanon Road"
"p174, Acris Street"
